ModelDate,Ticker,GICCode,CustomIndustryGroupCode,GICIndustryGroupCode,IndustryGroup,GICSectorCode,Sector,InitialOutvestDecision,QuantitativeDecisionDate,QuantitativeDecision,ChangeInGrowthRateDate,ChangeInGrowthRate,RevGrowth1QAgo,RevGrowth,BBDate,conflict,latestRevGrowth,NewInfoIndicator,FinalDecisionCode,FinalDecision,NewFinalDecisionIndicator,SP500Weight,Name,MktCapinThousands,Pclose,RebalanceWeight,Shares,MktValueOfShares
3/31/2017,TJX US EQUITY,25504010,12,2550,Retailing,25,Consumer Discretionary,Outvested,2/26/2015,Reinvest,2/25/2015,0.325,0.046,0.06,,Yes,0.072348053,,2,Invested,,0.254253286,TJX COMPANIES INC,51053257,79.08,0.35111968,222,17556
3/31/2017,TSCO US EQUITY,25504040,12,2550,Retailing,25,Consumer Discretionary,Outvested,11/2/2016,Reinvest,7/20/2016,-0.242,0.086,0.065,11/1/2016,Yes,0.088825404,,2,Invested,,0.04446727,TRACTOR SUPPLY COMPANY,8959962,68.97,0.061408581,45,3104
3/31/2017,ULTA US EQUITY,25504040,12,2550,Retailing,25,Consumer Discretionary,Outvested,,,,,,,,,0.237154304,,4,Outvested,,0.082292842,ULTA BEAUTY INC,17721910,285.23,0.113645085,20,5705
3/31/2017,AMZN US EQUITY,25502020,13,2550,Retailing/Internet,25,Consumer Discretionary,Invested,,,,,,,,,0.270823404,,1,Invested,,1.731684365,AMAZON.COM INC,423031178,886.54,2.391428133,135,119683
3/31/2017,EXPE US EQUITY,25502020,13,2550,Retailing/Internet,25,Consumer Discretionary,Invested,4/27/2012,Reinvest,4/26/2012,0.454,0.052,0.076,,,0.314920139,,1,Invested,,0.075024476,EXPEDIA INC,17286299,126.17,0.103607589,41,5173
3/31/2017,NFLX US EQUITY,25502020,13,2550,Retailing/Internet,25,Consumer Discretionary,Invested,7/23/2013,Reinvest,7/22/2013,0.161,0.121,0.141,,,0.3025525,,1,Invested,,0.313766414,NETFLIX INC,63619198,147.81,0.433306349,147,21728
3/31/2017,BKNG US EQUITY,25502020,13,2550,Retailing/Internet,25,Consumer Discretionary,Invested,5/5/2016,Reinvest,5/4/2016,0.113,0.093,0.103,,,0.16468139,,1,Invested,,0.431649416,PRICELINE GROUP INC/THE,87521125,1779.97,0.59610087,17,30259
3/31/2017,TRIP US EQUITY,25502020,13,2550,Retailing/Internet,25,Consumer Discretionary,Outvested,2/16/2016,Outvest,2/11/2016,-0.23,0.257,0.197,,,-0.008042895,,4,Outvested,,0.024038052,TRIPADVISOR INC,5669498,43.16,,,
3/31/2017,CHTR US EQUITY,25401025,10,2540,Media,25,Consumer Discretionary,Outvested,,,,,,,,,1.973446791,,2,Invested,,0.34727088,CHARTER COMMUNICATIONS INC-A,88015693,327.32,0.479575476,73,23894
3/31/2017,DISH US EQUITY,25401025,10,2540,Media,25,Consumer Discretionary,Outvested,3/30/2017,Outvest,2/22/2017,-0.669,0.016,0.0053,,,0.0053,,4,Outvested,,0.071054656,DISH Network Corp A,14409056,63.49,,,
3/31/2017,COST US EQUITY,30101040,14,3010,Food & Staples Retailing,30,Consumer Staples,Outvested,5/26/2016,Reinvest,5/25/2016,0.218,0.014,0.017,,Yes,0.033470056,,2,Invested,,0.363020859,COSTCO WHOLESALE CORP,73606016,167.69,0.501325941,149,24986
3/31/2017,CVS US EQUITY,30101010,14,3010,Food & Staples Retailing,30,Consumer Staples,Outvested,5/5/2014,Reinvest,5/2/2014,0.548,0.029,0.046,,Yes,0.158105552,,2,Invested,,0.397107673,CVS HEALTH CORP,81309593,78.5,0.548399281,349,27397
3/31/2017,CLX US EQUITY,30301010,16,3030,Household & Personal Products,30,Consumer Staples,Outvested,11/3/2016,Reinvest,11/2/2016,0.134,0.019,0.021,,Yes,0.031969085,,2,Invested,,0.085293582,CLOROX COMPANY,17294105,134.83,0.117789059,44,5933
3/31/2017,COTY US EQUITY,30302010,16,3030,Household & Personal Products,30,Consumer Staples,Outvested,,,,,,,,,0.263581301,,2,Invested,,0.042086792,COTY INC-CL A,13545249,18.13,0.058121179,160,2901
3/31/2017,EL US EQUITY,30302010,16,3030,Household & Personal Products,30,Consumer Staples,Outvested,11/4/2016,Outvest,11/2/2016,-0.372,0.045,0.028,,,0.028218663,,4,Outvested,,0.092952556,ESTEE LAUDER COMPANIES-CL A,18844069,84.79,,,
3/31/2017,KMB US EQUITY,30301010,16,3030,Household & Personal Products,30,Consumer Staples,Outvested,7/26/2016,Reinvest,7/25/2016,0.209,-0.059,-0.047,,Yes,-0.020924103,,4,Outvested,,0.230950697,KIMBERLY-CLARK CORP,46827504,131.63,,,
3/31/2017,PG US EQUITY,30301010,16,3030,Household & Personal Products,30,Consumer Staples,Outvested,4/27/2016,Reinvest,4/26/2016,0.13,-0.125,-0.109,,Yes,-0.025311916,,4,Outvested,,1.132865204,PROCTER & GAMBLE CO/THE,229699458,89.85,,,
3/31/2017,APA US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,11/4/2016,Reinvest,11/3/2016,0.267,-0.452,-0.332,,Yes,-0.19498861,,4,Outvested,,0.096232687,APACHE CORP,19547214,51.39,,,
3/31/2017,APC US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,5/3/2016,Reinvest,5/2/2016,0.136,-0.511,-0.442,,Yes,-0.099424269,,4,Outvested,,0.170925251,ANADARKO PETROLEUM CORP,34639524,62,,,
3/31/2017,BHI US EQUITY,10101020,1,1010,Energy,10,Energy,Outvested,1/27/2017,Reinvest,1/26/2017,0.128,-0.43,-0.375,,Yes,-0.37485707,,4,Outvested,,0.125483495,BAKER HUGHES INC,25444377,59.82,,,
3/31/2017,CHK US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,2/24/2017,Reinvest,2/23/2017,0.161,-0.422,-0.354,,Yes,-0.354239429,,4,Outvested,,0.022315692,CHESAPEAKE ENERGY CORP,5393728,5.94,,,
3/31/2017,COG US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,10/31/2016,Reinvest,10/28/2016,0.103,-0.341,-0.306,,Yes,-0.20191162,,4,Outvested,,0.056029729,CABOT OIL & GAS CORP,11130631,23.91,,,
3/31/2017,COP US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,10/28/2016,Reinvest,10/27/2016,0.157,-0.389,-0.328,,Yes,-0.198586118,,4,Outvested,,0.303960445,CONOCOPHILLIPS,61630992,49.87,,,
3/31/2017,CVX US EQUITY,10102010,1,1010,Energy,10,Energy,Outvested,10/31/2016,Reinvest,10/28/2016,0.205,-0.325,-0.258,,Yes,-0.157107191,,4,Outvested,,1.002479414,CHEVRON CORP,203262469,107.37,,,
3/31/2017,CXO US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,11/9/2016,Reinvest,11/8/2016,0.112,-0.123,-0.109,,Yes,-0.072338106,,4,Outvested,,0.093782124,CONCHO RESOURCES INC,19015239,128.34,,,
3/31/2017,DVN US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,5/7/2015,Outvest,5/5/2015,-0.375,0.635,0.397,,,-0.313454642,,4,Outvested,,0.107942097,DEVON ENERGY CORP,21886312,41.72,,,
3/31/2017,EOG US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,11/4/2016,Reinvest,11/3/2016,0.238,-0.451,-0.344,,Yes,-0.135808247,,4,Outvested,,0.277520382,EOG RESOURCES INC,56301958,97.55,,,
3/31/2017,EQT US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,10/28/2016,Reinvest,10/27/2016,0.414,-0.166,-0.097,,Yes,0.00756203,,2,Invested,,0.052232189,EQT CORP,10590585,61.1,0.072131809,59,3605
3/31/2017,FTI US EQUITY,10101020,1,1010,Energy,10,Energy,Outvested,4/23/2015,Outvest,4/21/2015,-0.392,0.115,0.07,,,-0.312214451,,4,Outvested,,0.074789205,TECHNIPFMC PLC,15164240,32.5,,,
3/31/2017,HAL US EQUITY,10101020,1,1010,Energy,10,Energy,Outvested,1/24/2017,Reinvest,1/23/2017,0.137,-0.38,-0.328,,Yes,-0.327762028,,4,Outvested,,0.210405538,HALLIBURTON CO,42661773,49.21,,,
3/31/2017,HES US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,1/26/2017,Reinvest,1/25/2017,0.241,-0.372,-0.282,,Yes,-0.282399036,,4,Outvested,,0.063970478,HESS CORP,15259574,48.21,,,
3/31/2017,HP US EQUITY,10101010,1,1010,Energy,10,Energy,Outvested,1/27/2017,Reinvest,1/26/2017,0.139,-0.486,-0.419,,Yes,-0.418650691,,4,Outvested,,0.035643362,HELMERICH & PAYNE,7227039,66.57,,,
3/31/2017,KMI US EQUITY,10102040,1,1010,Energy,10,Energy,Outvested,7/18/2014,Outvest,7/16/2014,-0.251,0.347,0.26,,,-0.093383323,,4,Outvested,,0.205852364,KINDER MORGAN INC,48533289,21.74,,,
3/31/2017,MPC US EQUITY,10102030,1,1010,Energy,10,Energy,Outvested,10/28/2016,Reinvest,10/27/2016,0.155,-0.28,-0.236,,Yes,-0.132475644,,4,Outvested,,0.131555467,MARATHON PETROLEUM CORP,26678802,50.54,,,
3/31/2017,MRO US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,11/3/2016,Reinvest,11/2/2016,0.155,-0.477,-0.403,,Yes,-0.269835597,,4,Outvested,,0.066017916,MARATHON OIL CORP,13385776,15.8,,,
3/31/2017,MUR US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,10/27/2016,Reinvest,10/26/2016,0.117,-0.497,-0.44,,Yes,-0.351744646,,4,Outvested,,0.022850199,MURPHY OIL CORP,4933062,28.59,,,
3/31/2017,NBL US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,2/15/2017,Outvest,2/13/2017,-0.283,-0.025,-0.032,,,-0.031563494,,4,Outvested,,0.073754541,NOBLE ENERGY INC,14954452,34.34,,,
3/31/2017,NFX US EQUITY,10102020,1,1010,Energy,10,Energy,Outvested,2/26/2015,Outvest,2/24/2015,-0.325,0.292,0.197,,,-0.188651794,,4,Outvested,,0.036204649,NEWFIELD EXPLORATION CO,7343835,36.91,,,
3/31/2017,NOV US EQUITY,10101020,1,1010,Energy,10,Energy,Outvested,7/30/2015,Outvest,7/28/2015,-1.169,0.083,-0.014,,,-0.508639967,,4,Outvested,,0.074882544,NATIONAL OILWELL VARCO INC,15183165,40.09,,,
3/31/2017,OKE US EQUITY,10102040,1,1010,Energy,10,Energy,Outvested,5/4/2016,Reinvest,5/3/2016,0.212,-0.363,-0.286,,Yes,0.14913014,,2,Invested,,0.05762694,ONEOK INC,11684424,55.44,0.079581873,72,3992
3/31/2017,OXY US EQUITY,10102010,1,1010,Energy,10,Energy,Outvested,11/2/2016,Reinvest,11/1/2016,0.159,-0.329,-0.277,,Yes,-0.19150641,,4,Outvested,,0.238831816,OCCIDENTAL PETROLEUM CORP,48443725,63.36,,,
3/31/2017,PSX US EQUITY,10102030,1,1010,Energy,10,Energy,Outvested,10/31/2016,Reinvest,10/28/2016,0.155,-0.35,-0.295,,Yes,-0.167815013,,4,Outvested,,0.172361152,PHILLIPS 66,40954443,79.22,,,
3/31/2017,BLK US EQUITY,40203010,20,4020,Diversified Financials,40,Financials,Outvested,4/18/2016,Outvest,4/14/2016,-0.477,0.029,0.015,,,-0.021577055,,4,Outvested,,0.23016729,BLACKROCK INC,62224881,383.51,,,
3/31/2017,BRK/B US EQUITY,40201030,20,4020,Diversified Financials,40,Financials,Outvested,11/8/2016,Outvest,11/4/2016,-0.443,0.092,0.051,,,0.051206214,,3,Invested,,1.561325668,BERKSHIRE HATHAWAY INC-CL B,218401471,166.68,2.156165524,647,107842
3/31/2017,CBOE US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,,,,,,,,,0.017,,1,Invested,,0.03667868,CBOE Holdings Inc,9069463,81.07,0.050652664,31,2513
3/31/2017,CME US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,2/3/2017,Reinvest,2/2/2017,0.906,0.042,0.081,,,0.080678129,,1,Invested,,0.199004899,CME GROUP INC,40350182,118.8,0.274822551,116,13781
3/31/2017,COF US EQUITY,40202010,20,4020,Diversified Financials,40,Financials,Invested,10/17/2014,Reinvest,10/16/2014,0.222,-0.042,-0.033,,,0.099089384,,1,Invested,,0.205427542,CAPITAL ONE FINANCIAL CORP,41831389,86.66,0.283692116,164,14212
3/31/2017,DFS US EQUITY,40202010,20,4020,Diversified Financials,40,Financials,Invested,1/28/2016,Reinvest,1/27/2016,1.959,0.014,0.041,,,0.049490102,,1,Invested,,0.13003898,DISCOVER FINANCIAL SERVICES,26254921,68.39,0.179581731,131,8959
3/31/2017,ETFC US EQUITY,40203020,20,4020,Diversified Financials,40,Financials,Invested,11/20/2015,Reinvest,10/22/2015,-30.266,-0.006,-0.203,11/19/2015,,0.297055058,,1,Invested,,0.047265375,E*TRADE FINANCIAL CORP,9584318,34.89,0.06527272,94,3280
3/31/2017,GS US EQUITY,40203020,20,4020,Diversified Financials,40,Financials,Invested,10/19/2016,Reinvest,10/18/2016,0.491,-0.159,-0.081,,,-0.038155478,,1,Invested,,0.419754509,GOLDMAN SACHS GROUP INC,91380319,229.72,0.579674195,126,28945
3/31/2017,ICE US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,5/5/2016,Reinvest,5/4/2016,0.986,0.08,0.158,,,0.347813062,,1,Invested,,0.175888574,INTERCONTINENTAL EXCHANGE IN,35530091,59.87,0.242899279,203,12154
3/31/2017,IVZ US EQUITY,40203010,20,4020,Diversified Financials,40,Financials,Outvested,8/1/2016,Outvest,7/28/2016,-0.819,-0.037,-0.067,,,-0.075835952,,4,Outvested,,0.060963989,INVESCO LTD,12459671,30.63,,,
3/31/2017,JEF US EQUITY,40201030,20,4020,Diversified Financials,40,Financials,Invested,11/3/2016,Reinvest,11/2/2016,0.427,-0.181,-0.104,,,-0.079447594,,1,Invested,,0.041524435,LEUCADIA NATIONAL CORP,9354982,26,0.057344574,110,2860
3/31/2017,MCO US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,10/24/2016,Reinvest,10/21/2016,2.007,-0.009,0.009,,,0.034352131,,1,Invested,,0.091725268,MOODY'S CORP,21401881,112.04,0.126671113,57,6386
3/31/2017,MS US EQUITY,40203020,20,4020,Diversified Financials,40,Financials,Invested,10/20/2016,Reinvest,10/19/2016,0.522,-0.116,-0.055,,,0.00137214,,1,Invested,,0.303604702,MORGAN STANLEY,79946509,42.84,0.419273189,489,20949
3/31/2017,NAVI US EQUITY,40202010,20,4020,Diversified Financials,40,Financials,Outvested,1/26/2017,Outvest,1/24/2017,-1.116,-0.018,-0.038,,,-0.038483741,,4,Outvested,,0.02118415,NAVIENT CORP,4295293,14.76,,,
3/31/2017,NDAQ US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,4/28/2016,Reinvest,4/27/2016,0.877,-0.028,-0.003,,,0.089091444,,1,Invested,,0.039409202,NASDAQ INC,11538701,69.45,0.054423471,39,2709
3/31/2017,NTRS US EQUITY,40203010,20,4020,Diversified Financials,40,Financials,Invested,1/19/2017,Reinvest,1/18/2017,0.269,0.047,0.059,,,0.05915783,,1,Invested,,0.091834219,NORTHERN TRUST CORP,19868811,86.58,0.126821573,73,6320
3/31/2017,RJF US EQUITY,40203020,20,4020,Diversified Financials,40,Financials,Invested,,,,,,,,,0.079,,1,Invested,,0.048097171,Raymond James Financial Inc,10957494,76.26,0.066421416,44,3355
3/31/2017,SCHW US EQUITY,40203020,20,4020,Diversified Financials,40,Financials,Invested,4/18/2016,Reinvest,4/15/2016,0.588,0.056,0.089,,,0.175819105,,1,Invested,,0.244510455,SCHWAB (CHARLES) CORP,54554482,40.81,0.337664989,414,16895
3/31/2017,SPGI US EQUITY,40203040,20,4020,Diversified Financials,40,Financials,Invested,10/30/2014,Reinvest,10/29/2014,0.889,0.017,0.033,,,0.065499718,,1,Invested,,0.166616979,S&P GLOBAL INC,33804527,130.74,0.230095357,88,11505
3/31/2017,STT US EQUITY,40203010,20,4020,Diversified Financials,40,Financials,Invested,1/26/2017,Reinvest,1/25/2017,0.337,-0.018,-0.012,,,-0.0116171,,1,Invested,,0.140964218,STATE STREET CORP,30406243,79.61,0.194669308,122,9712
3/31/2017,SYF US EQUITY,40202010,20,4020,Diversified Financials,40,Financials,Invested,,,,,,,,,0.110279001,,1,Invested,,0.130299506,SYNCHRONY FINANCIAL,27809994,34.3,0.179941512,262,8987
3/31/2017,TROW US EQUITY,40203010,20,4020,Diversified Financials,40,Financials,Invested,10/28/2016,Reinvest,10/27/2016,6.004,-0.001,0.003,,,0.005308765,,1,Invested,,0.081814723,T ROWE PRICE GROUP INC,16476762,68.15,0.112984811,83,5656
3/31/2017,AFL US EQUITY,40301020,21,4030,Insurance,40,Financials,Invested,4/27/2016,Reinvest,4/26/2016,0.332,-0.082,-0.055,,,0.080825987,,1,Invested,,0.14337828,AFLAC INC,29053238,72.42,0.198003089,137,9922
3/31/2017,AIG US EQUITY,40301030,21,4030,Insurance,40,Financials,Invested,8/3/2016,Reinvest,5/2/2016,-0.664,-0.094,-0.157,8/2/2016,,-0.102182523,,1,Invested,,0.28652746,AMERICAN INTERNATIONAL GROUP,61153931,62.43,0.395689793,317,19790
3/31/2017,AIZ US EQUITY,40301030,21,4030,Insurance,40,Financials,Outvested,2/9/2017,Outvest,2/7/2017,-0.357,-0.199,-0.271,,,-0.270564682,,4,Outvested,,0.026251247,ASSURANT INC,5297631,95.67,,,
3/31/2017,AJG US EQUITY,40301010,21,4030,Insurance,40,Financials,Outvested,8/1/2016,Outvest,7/28/2016,-0.291,0.105,0.074,,,0.037534308,,4,Outvested,,0.049807743,ARTHUR J GALLAGHER & CO,10147573,56.54,,,
3/31/2017,ALL US EQUITY,40301040,21,4030,Insurance,40,Financials,Invested,5/5/2016,Reinvest,11/2/2015,-0.465,0.024,0.013,5/4/2016,,0.024710403,,1,Invested,,0.146746892,ALLSTATE CORP,29754362,81.49,0.202655087,124,10105
3/31/2017,AON US EQUITY,40301010,21,4030,Insurance,40,Financials,Invested,5/2/2016,Reinvest,4/29/2016,0.117,-0.03,-0.027,,,-0.004708098,,1,Invested,,0.153719432,AON PLC,31168113,118.69,0.212284053,89,10563
3/31/2017,CB US EQUITY,40301040,21,4030,Insurance,40,Financials,Invested,1/27/2016,Reinvest,1/26/2016,0.55,-0.026,-0.012,,,0.656960826,,1,Invested,,0.312994385,CHUBB LTD,63462661,136.25,0.432240189,159,21664
3/31/2017,EVHC US EQUITY,35102015,17,3510,Health Care Equipment & Services,35,Health Care,Invested,,,,,,,,,0.439875351,,1,Invested,,0.035523063,ENVISION HEALTHCARE CORP,7199336,61.32,0.049056776,40,2453
3/31/2017,EW US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,4/27/2016,Reinvest,4/26/2016,0.194,0.074,0.088,,,0.188474957,,1,Invested,,0.098587118,EDWARDS LIFESCIENCES CORP,19866267,94.07,0.136147217,72,6773
3/31/2017,HCA US EQUITY,35102020,17,3510,Health Care Equipment & Services,35,Health Care,Invested,,,,,,,,,0.045667624,,1,Invested,,0.126717136,HCA HOLDINGS INC,32965545,88.99,0.174994318,98,8721
3/31/2017,HOLX US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Outvested,7/29/2016,Outvest,7/27/2016,-0.224,0.071,0.055,,,0.045315571,,4,Outvested,,0.058611461,HOLOGIC INC,11884045,42.55,,,
3/31/2017,HSIC US EQUITY,35102010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,5/4/2016,Reinvest,5/3/2016,0.83,0.025,0.046,,,0.088614666,,1,Invested,,0.066389481,HENRY SCHEIN INC,13461029,84.985,0.0916828,54,4589
3/31/2017,HUM US EQUITY,35102030,32,3510,Health Insurance,35,Health Care,Invested,2/15/2017,Reinvest,5/4/2016,-0.398,0.119,0.072,2/14/2017,,0.001657794,,1,Invested,,0.151813416,HUMANA INC,29742910,206.14,0.209651875,51,10513
3/31/2017,IDXX US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,,,,,,,,,,,1,Invested,,0.067106285,IDEXX LABORATORIES INC,13593775,154.61,0.092672695,30,4638
3/31/2017,ISRG US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,10/22/2014,Reinvest,10/21/2014,0.304,-0.122,-0.085,,,0.13420567,,1,Invested,,0.138827413,INTUITIVE SURGICAL INC,28148866,255.49,0.191718415,38,9709
3/31/2017,LH US EQUITY,35102015,17,3510,Health Care Equipment & Services,35,Health Care,Outvested,7/29/2016,Outvest,7/27/2016,-0.289,0.452,0.321,,,0.110793654,,4,Outvested,,0.07238607,LABORATORY CRP OF AMER HLDGS,14676981,143.47,,,
3/31/2017,MCK US EQUITY,35102010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,10/28/2016,Reinvest,7/29/2015,-0.232,0.308,0.236,10/27/2016,,0.038951838,,1,Invested,,0.155055324,MCKESSON CORP,31438978,148.26,0.214128898,72,10675
3/31/2017,MDT US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Outvested,6/2/2016,Outvest,5/31/2016,-0.329,0.63,0.423,,,0.027686384,,4,Outvested,,0.543882003,MEDTRONIC PLC,110277376,80.56,,,
3/31/2017,PDCO US EQUITY,35102010,17,3510,Health Care Equipment & Services,35,Health Care,Outvested,11/25/2016,Outvest,11/22/2016,-0.328,0.355,0.239,,,0.127590935,,4,Outvested,,0.018346227,PATTERSON COS INC,4393371,45.23,,,
3/31/2017,SYK US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,4/21/2016,Reinvest,4/20/2016,0.146,0.028,0.032,,,0.138648703,,1,Invested,,0.200948136,STRYKER CORP,49114534,131.65,0.27750613,105,13823
3/31/2017,UHS US EQUITY,35102020,17,3510,Health Care Equipment & Services,35,Health Care,Outvested,2/29/2016,Outvest,2/25/2016,-0.256,0.137,0.102,,,0.079920707,,4,Outvested,,0.054819816,UNIVERSAL HEALTH SERVICES-B,11115252,124.45,,,
3/31/2017,UNH US EQUITY,35102030,32,3510,Health Insurance,35,Health Care,Outvested,1/19/2017,Outvest,1/17/2017,-0.237,0.231,0.176,,,0.176446626,,3,Invested,,0.778221595,UNITEDHEALTH GROUP INC,157793365,164.01,1.07471145,328,53795
3/31/2017,VAR US EQUITY,35101010,17,3510,Health Care Equipment & Services,35,Health Care,Invested,10/27/2016,Reinvest,10/26/2016,2.984,0.01,0.038,,,0.033875607,,1,Invested,,0.042008574,VARIAN MEDICAL SYSTEMS INC,8516098,91.13,0.058013162,32,2916
